Country/Region,flag,sigma2_irregular,sigma2_level,signal_to_noise
Algeria,0,0.003127007281292858,9.764177994582455e-05,0.031225312627175802
Angola,0,0.011004745683815915,0.00021463935728680813,0.019504254205752945
Austria,0,0.006410889755523281,0.00011634916827318268,0.018148677127530145
Azerbaijan,0,0.005340185719064742,0.0001583222635337697,0.02964733285746055
Bahrain,0,0.0034533741714939258,8.716153492609649e-05,0.0252395282404022
Bangladesh,0,0.002288449865439542,0.00017947745365806667,0.0784275226512749
Belarus,0,0.0019370124445099637,5.2709978901370756e-05,0.027211998069896565
Burma,0,0.008021789975546813,0.00014580868900355328,0.01817657772741851
Cabo Verde,0,0.011938431590061215,0.00020379979766038927,0.017070902163568397
Cambodia,0,0.010498319048241327,0.00023401941011944396,0.022291131470103948
Chile,0,0.0029478930463722867,6.719660817617305e-05,0.022794791778102674
China,0,0.0035907743060709036,0.00035638468053969167,0.0992500920865881
Croatia,0,0.006095578138292235,0.0002223955382422047,0.036484732571160514
Cuba,0,0.0026816736753192505,0.00022122045039214114,0.08249342655974168
Djibouti,0,0.01532231322847974,0.00025984181589211864,0.016958393423856393
Egypt,0,0.0017752752763245247,4.588038971946659e-05,0.025844098845591957
Ethiopia,0,0.004802022411410922,0.00028514982666960907,0.059381194471732346
Georgia,0,0.00614000015635886,6.837857544037524e-05,0.011136575521021659
India,0,0.0021414254462910807,0.00013543442346370893,0.06324498651040104
Indonesia,0,0.0013520811594254331,8.030786254303933e-05,0.059395741138177055
Iraq,0,0.007167791360099826,0.00012797683655613404,0.01785443104113339
Israel,0,0.006870730993070432,0.00019098021677348153,0.027796200574014208
Kazakhstan,0,0.008964154116884573,0.00011283406756051943,0.012587252080816978
Kenya,0,0.005820833564659209,0.00018112074567213426,0.031115946480895176
Kiribati,0,0.007000653213520095,0.00020526034368724365,0.02932017019366595
Kosovo,0,0.017535602868898024,0.00026636194582993993,0.015189779776683475
Laos,0,0.0063755338314266385,0.00021074420091437182,0.033055145888421095
Malawi,0,0.017846230898300397,0.00019975768358779678,0.011193270149094669
Malaysia,0,0.004057146939113533,0.00013833567067014424,0.0340967859301566
Mali,0,0.01256133283888353,0.00015956035122988686,0.012702501659375568
Malta,0,0.006493612568911919,0.00040099292922971094,0.0617519023462316
Marshall Islands,0,0.01631045421236776,0.00042063243186310804,0.02578913047952731
Mauritania,0,0.006181276732304656,0.0004131014395465584,0.06683108643034912
Montenegro,0,0.002984141358078958,0.0002121665330824781,0.07109801702525928
Morocco,0,0.004198219863481097,0.00013196304179524042,0.031433094522548125
Mozambique,0,0.010160063757961066,0.0002008380320938112,0.019767398795744923
Nauru,0,0.0023097330831233485,0.00014693689593069236,0.063616396632288
Nepal,0,0.003590633340653134,0.00022618686553200207,0.06299358471696774
Norway,0,0.005108919706512005,9.468816222392446e-05,0.0185338912457817
Poland,0,0.0040297081047083565,7.089704289800978e-05,0.01759359265133196
Qatar,0,0.002469440790360301,0.0001534853456649669,0.06215388774013601
Romania,0,0.005073774353846651,0.00014454895836450284,0.02848943375948793
Rwanda,0,0.009435370828640923,0.0002688372551583471,0.028492494894031693
Saint Kitts and Nevis,0,0.021899991993580146,0.0004040017845588012,0.01844757681542678
Sao Tome and Principe,0,0.014671148886797221,0.00019612930933859553,0.013368367457240866
Saudi Arabia,0,0.004666015898737857,8.866957610669229e-05,0.019003273463058096
Senegal,0,0.011091498678205249,0.00012053456162382448,0.010867292610391273
Serbia,0,0.0030657650265557743,9.236892384379389e-05,0.030129159620417977
Sierra Leone,0,0.01300160878376895,0.0001591479921968381,0.012240638435107854
Singapore,0,0.005138623046432232,0.00020937141445453677,0.04074465329771644
Slovakia,0,0.006914263828260323,8.536735708370363e-05,0.012346557667467927
Slovenia,0,0.006585504113765469,9.13759047887414e-05,0.013875309043956296
South Africa,0,0.006970034985627552,7.043403445975713e-05,0.010105262685911118
Sri Lanka,0,0.008170473093437205,0.0001208882149146486,0.014795742367935833
Summer Olympics 2020,0,0.000898286908045947,2.2797777694498167e-05,0.025379171721527607
Turkey,0,0.005888019524235518,0.00026705174576728433,0.045355105340272706
Tuvalu,0,0.005645153828724266,0.00030299489479291257,0.05367345230721297
US,0,0.005852833952600711,8.987351399592621e-05,0.015355555056536475
Uganda,0,0.010083681280613896,0.00017311345482060337,0.01716768410296921
United Arab Emirates,0,0.0016698517127708274,0.00010770632293646941,0.06450053146201203
Vietnam,0,0.009745718490163957,0.00020720428100197793,0.02126105747986694
Winter Olympics 2022,0,0.0006027686051748867,7.762421073017964e-05,0.12877945212103048
World,0,0.0025719061217892533,0.00012007481826146376,0.04668709220923224
Zambia,0,0.01906121586725559,0.00020379555237213127,0.010691634457706475
Zimbabwe,0,0.01949613142291134,0.00024203896725469732,0.012414717669078671
